id;start_date;end_date;language
1;2022-08-23T23:04:16;2022-08-23T20:54:31;ENGLISH
2;2022-08-23T08:31:51;2022-08-23T17:57:20;FRENCH
3;2022-08-23T18:28:03;2022-08-23T06:33:11;SPANISH
4;2022-08-23T22:58:52;2022-08-23T04:25:11;FRENCH
5;2022-08-24T01:15:15;2022-08-23T09:34:13;ENGLISH
6;2022-08-23T10:45:58;2022-08-24T00:46:18;SPANISH
7;2022-08-23T18:49:46;2022-08-23T05:23:55;FRENCH
8;2022-08-23T09:15:39;2022-08-23T05:51:28;FRENCH
9;2022-08-23T10:07:17;2022-08-23T21:38:43;FRENCH
10;2022-08-23T06:04:15;2022-08-23T23:01:44;FRENCH
